,Wages1,Hours1,Wages2,Hours2
632,10.75,40.0,,
633,,,,
634,7.5,40.0,,
635,,,,
636,10.0,24.0,,
637,13.0,30.0,,
638,,,,
639,,,,
640,,,,
641,9.0,35.0,,
642,,,,
643,9.5,40.0,,
644,,,,
645,,,,
646,,,,
647,,,,
648,,,,
649,10.0,40.0,,
650,,,,
651,,,,
652,10.0,65.0,,
653,17.0,40.0,,
654,17.0,40.0,,
655,,,,
656,10.5,40.0,,
657,,,,
658,13.0,40.0,,
659,,,,
660,13.0,40.0,,
661,,,,
662,13.0,40.0,,
663,0.0,0.0,,
664,,,,
665,,,,
666,,,,
667,,,,
668,10.0,40.0,,
669,10.0,40.0,,
670,12.5,40.0,,
671,,,,
672,10.0,40.0,,
673,,,,
674,,,,
675,20.0,40.0,,
676,,,,
677,12.0,40.0,,
678,,,,
679,13.0,40.0,,
680,,,,
681,,,,
682,,,,
683,9.5,40.0,,
684,,,,
685,9.5,40.0,,
686,,,,
687,,,,
688,,,,
689,,,,
690,,,,
691,,,,
692,,,,
693,,,,
694,,,,
695,,,,
696,10.0,40.0,,
697,,,,
698,8.0,40.0,,
699,,,,
700,,,,
701,,,,
702,,,,
703,11.75,60.0,,
704,,,,
705,,,,
706,15.0,40.0,,
707,,,,
708,15.0,40.0,,
709,,,,
710,,,,
711,,,,
712,,,,
713,,,,
714,,,,
715,12.0,40.0,,
716,,,,
717,10.5,40.0,,
718,,,,
719,10.0,40.0,,
720,,,,
721,,,,
722,10.0,40.0,,
723,,,,
724,8.0,40.0,,
725,,,,
726,,,,
727,14.4,40.0,,
728,2.15,40.0,,
729,,,,
730,,,,
731,,,,
732,,,,
733,,,,
734,,,,
735,,,,
736,,,,
737,,,,
738,,,,
739,,,,
740,11.0,40.0,,
741,,,,
742,13.0,40.0,,
743,,,,
744,10.5,40.0,,
745,,,,
746,,,,
747,,,,
748,10.5,40.0,,
749,,,,
750,11.0,40.0,,
751,10.0,32.0,,
752,,,,
753,,,,
754,,,,
755,,,,
756,12.0,40.0,,
757,,,,
758,,,,
759,,,,
760,,,,
761,,,,
762,10.0,40.0,,
763,14.2,40.0,,
764,,,,
765,12.0,40.0,,
766,,,,
767,15.0,40.0,,
768,,,,
769,,,,
770,,,,
771,,,,
772,8.0,40.0,,
773,,,,
774,10.5,40.0,,
775,0.0,0.0,,
776,10.15,35.0,,
777,10.15,35.0,,
778,,,,
779,10.5,40.0,,
780,,,,
781,,,,
782,11.0,40.0,,
783,,,,
784,,,,
785,8.0,15.0,,
786,,,,
787,,,,
788,8.0,25.0,,
789,,,,
790,,,,
791,13.0,40.0,,
792,,,,
793,,,,
794,,,,
795,,,,
796,,,,
797,,,,
798,10.0,40.0,,
799,,,,
800,12.0,40.0,,
801,,,,
802,,,,
803,13.0,40.0,,
804,,,,
805,,,,
806,,,,
807,,,,
808,,,,
809,15.5,40.0,,
810,,,,
811,15.5,40.0,,
812,,,,
813,,,,
814,,,,
815,,,,
816,13.0,40.0,,
817,8.0,15.0,,
818,,,,
819,,,,
820,,,,
821,,,,
822,,,,
823,,,,
824,,,,
825,,,,
826,10.0,40.0,,
827,11.0,40.0,,
828,13.0,40.0,,
829,15.0,40.0,,
830,,,,
831,,,,
832,15.0,40.0,,
833,15.0,40.0,,
834,,,,
835,,,,
836,,,,
837,14.0,36.0,,
838,,,,
839,13.0,40.0,,
840,,,,
841,,,,
842,0.0,,,
843,8.0,40.0,,
844,18.0,40.0,,
845,20.0,40.0,,
846,15.0,20.0,,
847,8.0,20.0,,
848,17.0,18.0,,
849,14.74,27.0,,
850,11.0,40.0,,
851,12.25,12.0,,
852,10.0,40.0,,
853,10.0,20.0,,
854,0.0,0.0,,
855,0.0,0.0,,
856,0.0,0.0,,
857,0.0,0.0,,
858,0.0,0.0,,
859,0.0,0.0,,
860,0.0,0.0,,
861,0.0,0.0,,
862,0.0,0.0,,
863,0.0,0.0,,
864,0.0,0.0,,
865,0.0,0.0,,
866,0.0,0.0,,
867,0.0,0.0,,
868,0.0,0.0,,
869,0.0,0.0,,
870,0.0,0.0,,
871,0.0,0.0,,
872,0.0,0.0,,
873,0.0,0.0,,
874,0.0,0.0,,
875,0.0,0.0,,
876,0.0,0.0,,
877,0.0,0.0,,
878,0.0,0.0,,
879,0.0,0.0,,
880,0.0,0.0,,
881,0.0,0.0,,
882,0.0,0.0,,
883,0.0,0.0,,
884,0.0,0.0,,
885,0.0,0.0,,
886,0.0,0.0,,
887,0.0,0.0,,
888,0.0,0.0,,
889,0.0,0.0,,
890,0.0,0.0,,
891,11.5,37.0,,
892,13.0,20.0,,
893,20.0,12.0,,
894,16.83,40.0,,
895,20.0,40.0,,
896,11.48,35.0,,
897,25.0,40.0,,
898,25.0,40.0,,
899,20.0,40.0,,
900,17.0,40.0,,
901,29.0,40.0,,
902,12.0,15.0,,
903,28.0,40.0,,
904,11.0,72.0,,
905,21.6,40.0,,
906,45.67,40.0,,
907,32.69,40.0,,
908,15.0,21.0,,
909,67.4,40.0,,
910,15.0,40.0,,
911,36.06,40.0,,
912,23.8,40.0,,
913,5.0,40.0,,
914,34.0,40.0,,
915,21.63,40.0,,
916,15.0,40.0,,
917,15.0,40.0,,
918,10.0,40.0,,
919,10.0,10.0,,
920,7.5,13.0,,
921,10.0,20.0,,
922,7.25,18.0,,
923,15.0,20.0,,
924,14.0,40.0,,
925,20.0,10.0,,
926,20.0,12.0,,
927,33.0,25.0,,
928,33.65,40.0,,
929,7.75,15.0,,
930,10.5,40.0,,
931,15.0,30.0,,
932,12.0,15.0,,
933,0.0,20.0,,
934,0.0,0.0,,
935,0.0,0.0,,
936,0.0,0.0,,
937,0.0,0.0,,
938,0.0,0.0,,
939,0.0,0.0,,
940,0.0,0.0,,
941,0.0,0.0,,
942,0.0,0.0,,
943,0.0,0.0,,
944,0.0,0.0,,
945,0.0,0.0,,
946,0.0,0.0,,
947,0.0,0.0,,
948,0.0,0.0,,
949,0.0,0.0,,
950,0.0,0.0,,
951,0.0,0.0,,
952,0.0,0.0,,
953,0.0,0.0,,
954,0.0,0.0,,
955,0.0,0.0,,
956,0.0,0.0,,
957,0.0,0.0,,
958,0.0,0.0,,
959,0.0,0.0,,
960,0.0,0.0,,
961,0.0,0.0,,
962,0.0,0.0,,
963,0.0,0.0,,
964,0.0,0.0,,
965,0.0,0.0,,
966,0.0,0.0,,
967,0.0,0.0,,
968,0.0,0.0,,
969,0.0,0.0,,
970,0.0,0.0,,
971,0.0,0.0,,
972,0.0,0.0,,
973,0.0,0.0,,
974,0.0,0.0,,
975,0.0,0.0,,
976,0.0,0.0,,
977,0.0,0.0,,
978,0.0,0.0,,
979,0.0,0.0,,
980,0.0,0.0,,
981,0.0,0.0,,
982,0.0,0.0,,
983,0.0,0.0,,
984,0.0,0.0,,
985,0.0,0.0,,
986,0.0,0.0,,
987,0.0,0.0,,
988,0.0,0.0,,
989,0.0,0.0,,
990,0.0,0.0,,
991,25.0,40.0,,
992,62.5,40.0,,
993,55.0,30.0,,
994,21.63,40.0,,
995,25.0,40.0,,
996,5.0,40.0,,
997,15.0,40.0,,
998,15.0,40.0,,
999,10.0,15.0,,
1000,10.0,40.0,,
1001,10.0,25.0,,
1002,8.0,18.0,,
1003,7.75,15.0,,
1004,10.5,40.0,,
1005,20.0,15.0,,
1006,15.0,30.0,,
1007,12.0,15.0,,
1008,8.85,20.0,,
1009,10.0,40.0,,
1010,0.0,0.0,,
1011,,,,
1012,0.0,0.0,,
1013,0.0,0.0,,
1014,0.0,0.0,,
1015,0.0,0.0,,
1016,0.0,0.0,,
1017,0.0,0.0,,
1018,0.0,0.0,,
1019,0.0,0.0,,
1020,0.0,0.0,,
1021,0.0,0.0,,
1022,0.0,0.0,,
1023,0.0,0.0,,
1024,0.0,0.0,,
1025,0.0,0.0,,
1026,0.0,0.0,,
1027,0.0,0.0,,
1028,0.0,0.0,,
1029,0.0,0.0,,
1030,0.0,0.0,,
1031,0.0,0.0,,
1032,0.0,0.0,,
1033,0.0,0.0,,
1034,0.0,0.0,,
1035,0.0,0.0,,
1036,0.0,0.0,,
1037,0.0,0.0,,
1038,0.0,0.0,,
1039,0.0,0.0,,
1040,0.0,0.0,,
1041,0.0,0.0,,
1042,10.0,20.0,,
1043,15.0,24.0,,
1044,25.0,15.0,,
1045,15.0,40.0,,
1046,35.58,40.0,,
1047,0.0,,,
1048,16.0,40.0,,
1049,15.0,40.0,,
1050,25.0,52.0,,
1051,62.5,40.0,,
1052,28.0,40.0,,
1053,10.0,27.0,,
1054,25.0,25.0,,
1055,20.0,30.0,,
1056,20.0,40.0,,
1057,20.0,40.0,,
1058,11.0,60.0,,
1059,55.0,40.0,,
1060,38.54,40.0,,
1061,15.0,40.0,,
1062,43.0,40.0,,
1063,15.0,28.0,,
1064,28.0,40.0,,
1065,69.71,40.0,,
1066,21.63,40.0,,
1067,13.5,40.0,,
1068,15.0,40.0,,
1069,31.25,40.0,,
1070,10.0,15.0,,
1071,20.0,25.0,,
1072,10.5,20.0,,
1073,20.0,40.0,,
1074,25.0,40.0,,
1075,10.0,15.0,,
1076,10.0,10.0,,
1077,0.0,0.0,,
1078,12.0,30.0,,
1079,11.0,40.0,,
1080,12.5,40.0,,
1081,11.0,30.0,,
1082,18.0,25.0,,
1083,15.75,14.0,,
1084,11.0,40.0,,
1085,20.0,15.0,,
1086,12.25,12.0,,
1087,10.0,20.0,,
1088,0.0,0.0,,
1089,0.0,0.0,,
1090,0.0,0.0,,
1091,0.0,0.0,,
1092,0.0,0.0,,
1093,0.0,0.0,,
1094,0.0,0.0,,
1095,0.0,0.0,,
1096,0.0,0.0,,
1097,0.0,0.0,,
1098,0.0,0.0,,
1099,0.0,0.0,,
1100,0.0,0.0,,
1101,0.0,0.0,,
1102,0.0,0.0,,
1103,0.0,0.0,,
1104,0.0,0.0,,
1105,0.0,0.0,,
1106,0.0,0.0,,
1107,0.0,0.0,,
1108,0.0,0.0,,
1109,0.0,0.0,,
1110,0.0,0.0,,
1111,0.0,0.0,,
1112,0.0,0.0,,
1113,0.0,0.0,,
1114,0.0,0.0,,
1115,0.0,0.0,,
1116,0.0,0.0,,
1117,0.0,0.0,,
1118,0.0,0.0,,
1119,0.0,0.0,,
1120,0.0,0.0,,
1121,0.0,0.0,,
1122,0.0,0.0,,
1123,0.0,0.0,,
1124,0.0,0.0,,
1125,0.0,0.0,,
