clientid,emp,emp_date
1046853,Not employed,
1046858,Not employed,2016-05-03 00:00:00
1046859,Not employed,
1046868,Employed Full Time,
1046876,Not employed,
1046887,Not employed,2016-05-10 00:00:00
1046889,Not employed,
1046894,Not employed,
1046898,Not employed,
1046900,Not employed,
1046903,Not employed,
1046904,,
1046919,Employed Full Time,
1046926,,
1046932,,
1046935,Not employed,2016-07-11 00:00:00
1046946,Not employed,2016-06-23 00:00:00
1046947,Employed Full Time,2016-06-10 00:00:00
1046976,Not employed,2015-11-09 00:00:00
1046978,Not employed,2016-06-23 00:00:00
1046981,Employed Full Time,2017-01-30 00:00:00
1046982,Employed Part Time,2016-06-10 00:00:00
1046984,Employed Full Time,2016-05-10 00:00:00
1047005,Not employed,
1047006,Employed Full Time,2016-05-09 00:00:00
1047024,Employed Full Time,2016-09-05 00:00:00
1047029,Employed Full Time,
1047051,Employed Full Time,
1047078,,
1047084,Not employed,
1047086,Not employed,2016-05-20 00:00:00
1047097,Not employed,2016-06-14 00:00:00
1047101,Employed Full Time,2016-07-02 00:00:00
1047144,Employed Full Time,
1047151,Not employed,
1047166,Employed Full Time,
1047167,Not employed,
1047172,Not employed,2016-06-01 00:00:00
1047175,Employed Full Time,
1047182,Not employed,
1047188,Not employed,
1047211,Employed Full Time,2016-06-14 00:00:00
1047214,Not employed,
1047215,,
1047217,,
1047218,Not employed,2016-06-06 00:00:00
1047220,Not employed,
1047226,Employed Full Time,
1047228,Employed Part Time,
1047238,Not employed,
1047240,Not employed,2016-07-06 00:00:00
1047249,Not employed,2016-06-21 00:00:00
1047250,Employed Full Time,2016-08-18 00:00:00
1047259,Employed Full Time,2016-06-15 00:00:00
1047288,Not employed,
1047298,Employed Full Time,
1047314,Not employed,
1047315,Not employed,
1047333,Not employed,2016-06-21 00:00:00
1047406,Not employed,2016-06-23 00:00:00
1047412,,
1047419,,
1047420,Not employed,
1047458,Employed Full Time,
1047459,Not employed,
1047481,Employed Full Time,2016-07-12 00:00:00
1047484,Employed Full Time,2016-07-25 00:00:00
1047492,,
1047510,Employed Full Time,2016-01-13 00:00:00
1047528,Employed Part Time,
1047529,Not employed,
1047532,Not employed,
1047564,Employed Full Time,
1047578,,
1047582,Not employed,
1047584,Employed Full Time,2016-12-19 00:00:00
1047585,,
1047596,Employed Part Time,2016-12-29 00:00:00
1047598,Employed Full Time,2016-07-25 00:00:00
1047599,Employed Part Time,
1047603,Not employed,
1047606,,
1047626,Employed Full Time,2016-09-06 00:00:00
1047630,Employed Full Time,2016-12-23 00:00:00
1047632,Employed Full Time,2017-09-01 00:00:00
1047647,Employed Full Time,
