clientid,quarter,AccessIncome,AccessEmployment,AccessFinancialCoach,BundledServices
1055955,2016 Q4,1,0,1,2
1055958,2016 Q4,1,0,1,2
1055960,2018 Q2,0,1,1,2
1055970,2017 Q1,0,0,1,1
1055971,2017 Q1,0,0,1,1
1055972,2017 Q2,0,1,1,2
1055975,2018 Q3,0,0,1,1
1055983,2017 Q2,1,0,1,2
1056003,2017 Q1,0,1,1,2
1056042,2017 Q3,1,0,1,2
1056045,2017 Q1,0,0,1,1
1056048,2017 Q2,0,0,1,1
1056103,2017 Q1,0,1,0,1
1056119,2017 Q2,1,0,1,2
1056148,2017 Q1,1,0,1,2
1056224,2017 Q1,0,1,1,2
1056248,2017 Q1,0,1,1,2
1056267,2017 Q2,1,0,1,2
1056286,2017 Q1,0,1,0,1
1056303,2018 Q3,1,0,1,2
1056328,2017 Q1,0,1,1,2
1056329,2018 Q4,1,0,1,2
1056335,2018 Q2,1,1,1,3
1056367,2017 Q2,1,0,1,2
1056378,2017 Q1,0,0,0,0
1056381,2017 Q1,0,0,1,1
1056383,2017 Q1,0,0,1,1
1056385,2017 Q1,0,0,1,1
1056443,2017 Q1,1,0,1,2
1056465,2017 Q1,0,1,0,1
1056468,2017 Q2,1,1,1,3
1056469,2017 Q1,0,1,1,2
1056470,2017 Q1,0,1,1,2
1056501,2017 Q1,1,1,1,3
1056561,2017 Q1,1,0,1,2
1056564,2017 Q2,0,1,0,1
1056567,2017 Q2,0,0,1,1
1056588,2017 Q3,0,1,1,2
1056600,2017 Q1,0,0,1,1
1056623,2017 Q1,0,1,1,2
1056676,2018 Q3,1,1,1,3
1056693,2017 Q1,0,0,1,1
1056703,2017 Q2,1,0,1,2
1056706,2017 Q2,0,0,1,1
1056737,2017 Q1,0,0,0,0
1056738,2017 Q2,1,1,1,3
1056739,2017 Q2,1,1,1,3
1056745,2017 Q2,1,1,1,3
1056766,2017 Q1,0,0,1,1
1056767,2017 Q1,1,1,1,3
1056781,2017 Q2,0,1,0,1
1056813,2017 Q1,0,1,1,2
1056875,2017 Q1,0,1,0,1
1056876,2017 Q1,0,1,1,2
1056952,2017 Q2,1,1,1,3
