,Savings,CreditScore,Debt
1029,0,,3000
1030,,,
1031,,,
1032,,,
1033,0,,
1034,,,
1035,,,
1036,,,
1037,,,
1038,,,
1039,,,
1040,,,
1041,,,2000
1042,,,
1043,500,,
1044,,,
1045,,,
1046,,,
1047,,,
1048,,,
1049,255,,
1050,100,,3000
1051,100,,
1052,100,,1000
1053,100,,
1054,500,,
1055,100,,
1056,100,,
1057,100,,
1058,100,,
1059,100,,
1060,100,,
1061,100,,1500
1062,100,,
1063,100,,
1064,90,754,3800
1065,,,
1066,4950,800,
1067,1000,,
1068,,420,2000
1069,100,,2495
1070,100,,
1071,,,
1072,,524,3700
1073,,,
1074,,639,6025
1075,,,4000
1076,,542,
1077,0,,44843
1078,,,
1079,0,,
1080,,,
1081,,504,93585
1082,1600,,
1083,,,900
1084,13000,,
1085,,,9602.32
1086,,,
1087,,600,1500
1088,,500,50000
1089,,,
1090,,,
1091,,,
1092,,,
1093,,,
1094,,,
1095,,,400
1096,,,
1097,1200,,4000
1098,,,
1099,,,
1100,,,
1101,,,
1102,900,513,25991
1103,,,
1104,,,
1105,,,
1106,,,
1107,,,
1108,0.04,,3430.07
1109,,,
1110,,,
1111,,,
1112,,,
1113,,,
1114,,,
1115,,,
1116,0,,
1117,,,
1118,16000,,
1119,5000,775,15000
1120,5000,,
1121,1000,,
1122,,,
1123,,580,
1124,,,
1125,,,
1126,,,
1127,,784,
1128,100,,
1129,,,
1130,5150,750,1000
1131,50,,
1132,50,,
1133,50,,
1134,50,,
1135,50,,
1136,50,,
1137,,725,
1138,0,,
1139,,,
1140,,757,5554.32
1141,500,481,8104
1142,2000,661,1910
1143,4000,575,11468
1144,0,767,47288
1145,,,172
1146,7000,740,3000
1147,600,,
1148,,,
1149,,,37000
1150,0,,1000
1151,,524,632
1152,,,17900
1153,100,,
1154,,,
1155,,,
1156,,,
1157,,,
1158,,,
1159,,499,400
1160,,645,
1161,,,
1162,,,
1163,,,18000
1164,500,667,8543
1165,,,2396
1166,,,
1167,1300,787,3500
1168,,422,41000
1169,,,
1170,,560,50500
1171,,,
1172,,,
1173,271,613,96749
1174,,,
1175,,,
1176,,463,15500
1177,,300,
1178,200,683,20993
1179,,,
1180,1200,588,33222
1181,500,,600
1182,20000,,20000
1183,,487,5000
1184,,526,
1185,,,
1186,,517,3971
1187,,585,28830
1188,,412,1590
1189,,700,1600
1190,200,520,14000
1191,,,4500
1192,5000,800,700
1193,2000,,
1194,,,15000
1195,,,
1196,,543,21136
1197,,583,49000
1198,,,
1199,0,475,
1200,,,
1201,,,8400
1202,,478,2537.39
1203,,600,294
1204,,,
1205,,,150
1206,0,,24000
1207,,515,
1208,,459,
1209,,,
1210,,,
1211,,558,
1212,,560,4500
1213,,,1150
1214,,,3000
1215,9000,720,65000
1216,8000,,120
1217,,620,
1218,,,
1219,110,529,4500
1220,,,
1221,,528,
1222,,530,200
1223,,,
1224,0,746,
1225,10000,744,1000
1226,,720,2500
1227,,566,9500
1228,0,,4565
1229,120,699,153000
1230,,,1000
1231,,457,997
1232,,,
1233,,650,32000
1234,,,
