,ClientID,Quarter,Baseline,date
586,1017665,2019 Q1,1,2019-01-01
587,1018280,2019 Q1,1,2019-01-01
588,1018821,2019 Q1,1,2019-01-01
589,1018615,2019 Q1,1,2019-01-01
590,1016978,2019 Q1,1,2019-01-01
591,1018804,2019 Q1,1,2019-01-01
592,1019104,2019 Q1,1,2019-01-01
593,1019102,2019 Q1,1,2019-01-01
594,1019054,2019 Q1,1,2019-01-01
595,1019257,2019 Q1,1,2019-01-01
596,1018273,2019 Q1,1,2019-01-01
597,1016899,2019 Q1,1,2019-01-01
598,1018219,2019 Q1,1,2019-01-01
599,1016573,2019 Q1,1,2019-01-01
600,1003739,2019 Q1,1,2019-01-01
601,1016727,2019 Q1,1,2019-01-01
602,1003908,2019 Q1,1,2019-01-01
603,1016727,2019 Q1,0,2019-01-01
604,1018280,2019 Q1,0,2019-01-01
605,1003908,2019 Q1,0,2019-01-01
606,1016978,2019 Q1,0,2019-01-01
607,1016573,2019 Q1,0,2019-01-01
608,1003739,2019 Q1,0,2019-01-01
609,HCC141291,2019 Q1,0,2019-01-01
610,HCC141292,2019 Q1,0,2019-01-01
611,HCC141293,2019 Q1,0,2019-01-01
612,HCC141294,2019 Q1,0,2019-01-01
613,HCC141298,2019 Q1,0,2019-01-01
614,HCC141299,2019 Q1,0,2019-01-01
615,HCC141300,2019 Q1,0,2019-01-01
616,HCC141301,2019 Q1,0,2019-01-01
617,HCC141302,2019 Q1,0,2019-01-01
618,HCC141303,2019 Q1,0,2019-01-01
619,HCC141304,2019 Q1,0,2019-01-01
620,HCC141305,2019 Q1,0,2019-01-01
621,HCC141306,2019 Q1,0,2019-01-01
622,HCC141307,2019 Q1,0,2019-01-01
623,HCC141308,2019 Q1,0,2019-01-01
624,HCC141309,2019 Q1,0,2019-01-01
625,HCC141310,2019 Q1,0,2019-01-01
626,HCC141311,2019 Q1,0,2019-01-01
627,HCC141312,2019 Q1,0,2019-01-01
628,HCC141313,2019 Q1,0,2019-01-01
629,HCC141314,2019 Q1,0,2019-01-01
630,HCC141315,2019 Q1,0,2019-01-01
