,Wages1,Hours1,Wages2,Hours2
1249,0,0,,
1250,0,0,,
1251,0,0,,
1252,0,0,,
1253,0,0,,
1254,0,0,,
1255,0,0,,
1256,0,0,,
1257,0,0,,
1258,0,0,,
1259,0,0,,
1260,0,0,,
1261,0,0,,
1262,0,0,,
1263,0,0,,
1264,0,0,,
1265,0,0,,
1266,0,0,,
1267,0,0,,
1268,7,25,,
1269,0,0,,
1270,14.25,40,,
1271,21.63,40,,
1272,9.79,15,,
1273,22,10,,
1274,11.45,40,,
1275,0,0,,
1276,8.75,40,9,40
1277,0,0,,
1278,18.63,40,,
1279,0,0,,
1280,15,40,,
1281,18.85,40,,
1282,7.5,40,,
1283,13.19,40,,
1284,15,40,,
1285,9.25,36,,
1286,15,40,,
1287,11,22,,
1288,0,0,,
1289,13,40,,
1290,17,40,,
1291,12.5,40,,
1292,13.19,40,,
1293,7.5,40,,
1294,13,30,,
1295,9.5,40,,
1296,15.55,40,,
1297,11.85,40,,
1298,9,36,,
1299,0,0,,
1300,17,40,,
1301,11,35,,
1302,10,22,,
1303,0,0,,
1304,0,0,,
1305,18.81,40,9.9,15
1306,15.02,37,,
1307,11,40,,
1308,15.45,40,,
1309,20.5,40,,
1310,8.2,20,,
1311,13,25,28.13,2
1312,14.28,40,,
1313,17.5,40,17.72,12
1314,0,0,,
1315,0,0,,
1316,12.47,37,,
1317,14.6,40,,
1318,0,0,,
1319,0,0,,
1320,0,0,,
1321,9,40,,
1322,13.5,40,,
1323,9.5,20,,
1324,20,40,,
1325,10,20,,
1326,10,25,,
1327,0,0,,
1328,0,0,,
1329,0,0,,
1330,0,0,,
1331,17.4,40,,
1332,19.27,20,,
1333,0,0,,
1334,16.5,40,,
1335,8.3,60,,
1336,0,0,,
1337,13.5,40,,
1338,11,19,,
1339,11,40,,
1340,19.19,46,,
1341,12,6,,
1342,0,0,,
1343,12,6,,
1344,13.5,50,,
1345,9,15,,
1346,2.9,10,,
1347,0,0,,
1348,10,5,,
1349,15.6,40,,
1350,20,37.5,,
1351,0,0,,
1352,0,0,,
1353,16,40,,
1354,10,18,10,15
1355,0,0,,
1356,15.5,33,,
1357,11,40,9,12
1358,12,40,,
1359,9.5,40,,
1360,15.5,40,,
1361,25.75,30,11,5
1362,9.5,38,,
1363,0,0,,
1364,21.88,40,,
1365,11,19,,
1366,8,40,,
1367,6.19,25,,
1368,9.5,33,,
1369,0,0,,
1370,10,40,,
1371,16.31,40,11.5,23
1372,12.5,20,,
1373,7.75,40,,
1374,10,40,,
1375,10.71,40,,
1376,19.53,40,,
1377,10,20,,
1378,20,40,,
1379,9.5,20,,
1380,16,40,,
1381,0,0,,
1382,16.56,37,,
1383,0,0,,
1384,0,0,,
1385,14.97,29,,
1386,0,0,,
1387,17,40,,
1388,11.6,21,,
1389,18.5,40,,
1390,0,0,,
1391,16.5,40,,
1392,11,32,,
1393,0,0,,
1394,0,0,,
1395,11.5,35,,
1396,16,40,,
1397,0,0,,
1398,12.5,40,,
1399,12,50,,
1400,11.53,12,,
1401,15,40,,
1402,0,0,,
1403,0,0,,
1404,11.54,2,,
1405,12.75,30,,
1406,11.5,30,16,24
1407,9.5,12,,
1408,11,32,,
1409,0,0,,
1410,0,0,,
1411,0,0,,
1412,9.85,30,,
1413,25,40,,
1414,15,40,,
1415,16.45,40,,
1416,10,40,,
1417,0,0,,
1418,10,20,,
1419,17,40,12,20
1420,13,30,,
1421,20,35,,
1422,16.5,40,,
1423,15.7,40,,
1424,21.37,40,,
1425,0,0,,
1426,13.2,30,,
1427,0,0,,
1428,0,0,,
1429,0,0,,
1430,15.24,40,11,30
1431,11.33,25,13.18,20
1432,23,40,,
1433,12,30,,
1434,0,0,,
1435,0,0,,
1436,15,40,,
1437,25.96,45,,
1438,17.7,40,,
1439,23.5,15,,
1440,0,0,,
1441,0,0,,
1442,0,0,,
1443,0,0,,
1444,48,40,,
1445,15.15,40,,
1446,17.94,40,,
1447,11.75,40,,
1448,11.36,35,,
1449,11.57,40,,
1450,11.25,40,,
1451,12,40,5.5,15
1452,15.4,40,,
1453,0,0,,
1454,16,40,,
1455,25,40,,
1456,0,0,,
1457,10,35,,
1458,14.25,40,,
1459,12,40,,
1460,9.5,23.8,9.38,14
1461,17.86,25,,
1462,13.25,40,,
1463,13.25,60,,
1464,8.75,40,,
1465,14,40,,
1466,13,40,,
1467,23.32,40,,
1468,23,40,,
1469,0,0,,
1470,79.32,40,,
1471,18.54,40,,
1472,9,30,,
1473,12,30,,
1474,15,30,,
1475,0,0,,
1476,18,40,,
1477,10,40,,
1478,0,0,,
1479,16.35,40,,
1480,22.22,37.5,,
1481,13.13,40,,
1482,0,0,,
1483,0,0,,
1484,12.02,40,,
1485,15,40,,
1486,0,0,,
1487,12,40,,
1488,18,5,,
1489,12,40,,
1490,12.5,35,,
1491,,,,
1492,12,40,,
1493,10.5,20,,
1494,,,,
1495,,,,
1496,12.5,40,10,20
1497,,,,
1498,10,20,,
1499,,,,
1500,10.04,40,,
1501,10,40,,
1502,,,,
1503,12,20,,
1504,15,40,,
1505,13,30,,
1506,0,,,
1507,12.7,40,,
1508,13.5,20,,
1509,0,,,
1510,0,,,
1511,0,,,
1512,0,,,
1513,0,,,
1514,0,,,
1515,0,,,
1516,2.13,40,,
1517,11,20,,
1518,0,,,
1519,13,30,,
1520,0,,,
1521,12,40,,
1522,0,,,
1523,0,,,
1524,9,30,,
1525,0,,,
1526,0,,,
1527,23.5,40,,
1528,14.75,40,,
1529,12,40,,
1530,0,,,
1531,0,,,
1532,11,40,,
1533,0,,,
1534,0,,,
1535,0,,,
1536,0,,,
1537,0,,,
1538,0,,,
1539,16.97,20,,
1540,0,,,
1541,0,,,
1542,0,,,
1543,17.45,4,,
1544,10,25,,
1545,0,,,
1546,,,,
1547,0,,,
1548,0,,,
1549,0,,,
1550,0,,,
1551,0,,,
1552,0,,,
1553,0,,,
1554,0,,,
1555,0,,,
1556,0,,,
1557,0,,,
1558,10,20,,
1559,12,70,,
1560,0,,,
1561,0,,,
1562,0,,,
1563,0,,,
1564,0,,,
1565,9.25,40,,
1566,0,,,
1567,0,,,
1568,0,,,
1569,0,,,
1570,18.5,40,,
1571,0,,,
1572,2.13,30,,
1573,0,,,
1574,0,,,
1575,0,,,
1576,9,35,,
