,FinCap_Goals,FinCap_EmergencyFund,FinCap_AutoDeposit,FinCap_IncomeExpenses,FinCap_LateFee
603,2.0,0.0,1.0,1.0,1.0
604,,,,,
605,,,,,
606,,,,,
607,,,,,
608,,,,,
609,2,0,0,1,0
610,2,0,0,1,0
611,1,0,0,1,0
612,0,0,0,1,0
613,0,0,0,0,1
614,1,0,0,1,0
615,1,0,0,1,0
616,1,0,0,1,0
617,1,0,0,1,0
618,0,0,0,1,1
619,0,0,0,0,0
620,1,0,0,0,0
621,1,0,0,1,0
622,1,0,0,1,0
623,0,0,0,1,0
624,1,0,0,0,0
625,1,0,0,1,0
626,0,0,0,1,0
627,1,0,0,1,0
628,1,0,0,0,1
629,2,0,0,1,0
630,0,0,0,0,1
631,1,0,0,0,0
632,1,0,0,1,0
633,0,0,0,0,0
634,1,0,0,1,0
635,0,0,0,0,1
636,1,0,0,1,0
637,1,0,0,0,1
638,0,0,0,1,0
639,2,0,0,1,0
640,2,0,0,1,0
641,1,0,0,1,0
642,2,0,0,1,0
643,1,0,0,1,0
644,1,0,0,1,0
645,1,0,0,1,0
646,1,0,0,1,0
647,2,0,0,0,1
648,1,0,0,1,0
649,2,0,0,1,0
650,2,0,1,1,0
651,1,0,0,1,0
652,1,0,0,1,0
653,1,0,0,1,0
654,2,0,0,1,0
655,2,0,0,1,0
656,2,0,0,1,0
657,2,0,0,1,0
658,2,0,0,1,0
659,1,0,0,1,0
660,1,0,0,1,0
661,0,0,0,0,1
662,0,0,0,1,0
663,1,0,0,1,0
664,2,0,0,1,0
665,1,0,0,1,0
666,1,0,0,1,0
667,1,0,0,1,0
668,2,0,0,1,0
669,2,0,0,1,0
670,2,0,0,1,0
671,2,0,0,1,0
672,0,0,0,0,1
673,0,0,0,0,1
674,1,0,0,1,0
675,0,0,0,0,1
676,1,0,0,0,1
677,1,0,0,0,0
678,2,0,0,1,0
679,2,0,0,1,0
680,1,0,0,0,0
681,0,0,0,0,0
682,2,0,0,1,0
683,1,0,0,1,0
684,0,0,0,0,1
685,1,0,0,0,0
686,1,0,0,0,1
687,2,0,0,1,0
688,1,0,0,1,0
689,2,0,0,1,0
690,2,0,0,1,0
691,1,0,0,0,1
692,1,0,0,0,0
693,2,0,0,0,0
694,0,0,0,1,0
695,2,0,0,1,0
696,2,1,1,1,0
697,1,1,1,1,0
698,2,1,1,0,1
699,2,1,1,1,0
700,,,,,
701,1,1,1,1,1
702,1,0,1,0,1
703,1,0,1,0,1
704,2,0,1,1,0
705,,,,,
706,2,1,1,1,0
707,,,,,
708,,,,,
709,2,0,1,1,0
710,,,,,
711,2,1,1,1,0
712,2,1,1,1,0
713,2,0,0,0,0
714,2,1,1,1,0
715,,,,,
716,,,,,
717,2,1,0,0,0
718,2,0,1,1,0
719,2,0,1,1,0
720,1,0,1,0,1
721,2,1,1,1,0
722,2,1,1,1,0
723,2,1,1,1,0
724,2,1,1,1,0
725,2,1,1,1,0
726,,,,,
727,,,,,
728,1,1,1,1,0
729,,,,,
730,,,,,
731,1,0,0,0,1
732,,,,,
733,,,,,
734,,,,,
735,,,,1.0,0.0
736,,,,,
737,,,,,
738,,,,,
739,,,,,
740,,,,,
741,,,,,
742,,,,,
743,,,,,
744,,,,,
745,,,,,
746,,,,,
747,,,,,
748,1.0,0.0,0.0,1.0,
749,,,,,
750,,,,,
751,,,,,
752,,,,,
753,,,,,
754,,,,,
755,,,,,
756,,,,,
757,,,,,
758,,,,,
759,,,,,
760,,,,,
761,,,,,
762,,,,,
763,,,,,
764,,,,,
765,,,,,
766,,,,,
767,,,,,
768,,,,,
769,,,,,
770,,,,,
771,,,,,
772,,,,,
773,,,,,
774,,,,,
775,2.0,2.0,0.0,1.0,1.0
776,,,,,
777,,,,,
778,,,,,
779,2.0,1.0,0.0,1.0,1.0
780,,,,,
781,,,,,
782,,,,,
783,,,,,
784,,,,,
785,,,,,
786,,,,,
787,,,,,
788,,,,,
789,,,,,
790,2.0,2.0,1.0,1.0,1.0
791,,,,,
792,,,,,
793,,,,,
794,0.0,0.0,1.0,1.0,1.0
795,,,,,
796,,,,,
797,,,,,
798,,,,,
799,,,,,
800,,,,,
801,,,,,
802,,,,,
803,,,,,
804,,,,,
805,,,,,
806,,,,,
807,,,,,
808,,,,,
809,,,,,
810,,,,,
811,,,,,
812,,,,,
813,,,,,
814,,,,,
815,,,,,
816,,,,,
817,,,,,
818,,,,,
819,,,,,
820,,,,,
821,,,,,
822,,,,,
823,,,,,
824,,,,,
825,,,,,
826,,,,,
827,,,,,
828,,,,,
829,,,,,
830,1.0,2.0,1.0,1.0,1.0
831,,,,,
832,,,,,
833,,,,,
834,,,,,
835,,,,,
836,,,,,
837,,,,,
838,,,,,
839,,,,,
840,,,,,
841,,,,,
842,,,,,
843,,,,,
844,,,,,
845,,,,,
846,,,,,
847,,,,,
848,,,,,
849,,,,,
850,,,,,
851,,,,,
852,,,,,
853,,,,,
854,,,,,
855,,,,,
856,,,,,
857,,,,,
858,,,,,
859,,,,,
860,,,,,
861,,,,,
862,,,,,
863,,,,,
864,,,,,
865,,,,,
866,,,,,
867,,,,,
868,,,,,
869,,,,,
870,,,,,
871,,,,,
872,,,,,
873,,,,,
874,,,,,
875,,,,,
876,,,,,
877,,,,,
878,,,,,
879,,,,,
880,,,,,
881,,,,,
882,2.0,0.0,0.0,1.0,1.0
883,,,,,
884,2.0,0.0,0.0,1.0,0.0
885,,,,,
886,,,,,
887,1.0,1.0,0.0,1.0,0.0
888,2.0,0.0,0.0,1.0,1.0
889,,,,,
890,2.0,0.0,0.0,0.0,1.0
891,,,,,
892,,,,,
893,,,,,
894,,,,,
895,,,,,
896,,,,,
897,1.0,0.0,0.0,0.0,0.0
898,,,,,
899,,,,,
900,,,,,
901,,,,,
902,,,,,
903,,,,,
904,,,,,
905,,,,,
906,1.0,0.0,1.0,1.0,1.0
907,,,,,
908,,,,,
909,2.0,1.0,0.0,0.0,0.0
910,,,,,
911,1.0,0.0,0.0,0.0,0.0
