,Wages1,Hours1,Wages2,Hours2
665,10.0,20.0,,
666,12.0,40.0,,
667,14.0,40.0,,
668,18.0,40.0,,
669,19.0,40.0,,
670,12.0,40.0,,
671,16.0,40.0,,
672,10.0,20.0,,
673,,,,
674,10.0,36.0,,
675,8.0,8.0,,
676,,,,
677,,,,
678,,,,
679,13.5,40.0,,
680,,,,
681,,,,
682,10.0,30.0,,
683,9.0,20.0,,
684,,,,
685,,,,
686,,,,
687,9.5,40.0,,
688,12.0,24.0,,
689,15.0,40.0,,
690,,,,
691,,,,
692,9.0,20.0,,
693,,,,
694,,,,
695,16.0,40.0,,
696,14.5,40,,
697,14.5,40,,
698,14.5,40,,
699,15.36,40,,
700,14.5,40,,
701,15.89,40,,
702,20,40,,
703,20,40,,
704,24,40,,
705,16,40,,
706,16,40,,
707,16,40,,
708,16,40,,
709,17.79,40,,
710,13,40,,
711,15,40,,
712,16,40,,
713,,,,
714,19.25,40,,
715,19.23,40,,
716,14.5,40,,
717,14,40,,
718,15,40,,
719,15,40,,
720,22.3,40,,
721,15,40,,
722,20.98,40,,
723,20.98,40,,
724,22,40,,
725,16.35,40,,
726,14.5,40,,
727,17.29,40,,
728,19.59,40,,
729,,,,
730,,,,
731,15,40,,
732,$13.00 ,32.0,,
733,0,,,
734,0,,,
735,$14.00 ,40.0,14.0,35.0
736,0,,,
737,0,,,
738,0,,,
739,0,,,
740,0,,,
741,0,,,
742,0,,,
743,0,,,
744,0,,,
745,,10.0,,
746,$16.00 ,35.0,,
747,0,0.0,0.0,0.0
748,$11.22 ,38.0,0.0,0.0
749,,,,
750,0,,,
751,$14.50 ,35.0,,
752,0,,,
753,0,,,
754,0,0.0,,
755,0,,,
756,$13.00 ,35.0,,
757,$10.50 ,44.0,,
758,0,0.0,0.0,0.0
759,12,40.0,,
760,0,,,
761,$13.00 ,35.0,,
762,0,0.0,,
763,0,0.0,0.0,0.0
764,0,0.0,0.0,0.0
765,0,,,
766,0,,,
767,0,,,
768,0,,,
769,,,,
770,0,,,
771,0,,,
772,0,,,
773,0,,,
774,$13.00 ,35.0,,
775,12.65,24.0,,
776,0,,,
777,0,,,
778,0,,,
779,15.85,40.0,,
780,0,,,
781,0,,,
782,13,80.0,11.0,25.0
783,0,,,
784,0,,,
785,0,,,
786,0,0.0,0.0,0.0
787,0,,,
788,$10.00 ,40.0,,
789,$9.50 ,35.0,,
790,13,40.0,11.3,25.0
791,0,0.0,0.0,0.0
792,0,,,
793,0,,,
794,0,0.0,0.0,0.0
795,0,,,
796,$13.00 ,35.0,,
797,$12.76 ,35.0,,
798,0,,,
799,0,,,
800,0,,,
801,0,,,
802,,,,
803,14.5,35.0,,
804,0,,,
805,$11.50 ,40.0,,
806,18,40.0,,
807,0,0.0,,
808,0,,,
809,10.5,40.0,0.0,0.0
810,$12.00 ,50.0,,
811,0,,,
812,0,,,
813,0,,,
814,0,,,
815,0,,,
816,0,,,
817,0,,,
818,0,,,
819,$8.50 ,25.0,,
820,0,,,
821,$12.60 ,25.0,,
822,0,,,
823,,,,
824,0,,,
825,$11.50 ,30.0,,
826,0,,,
827,0,,,
828,0,,,
829,0,,,
830,12,35.0,0.0,0.0
831,0,,,
832,$11.50 ,35.0,,
833,0,,,
834,0,,,
835,0,,,
836,0,,,
837,0,0.0,,
838,0.0,,,
839,0.0,,,
840,0.0,,,
841,10.0,25.0,,
842,10.0,40.0,0.0,0.0
843,10.0,40.0,0.0,0.0
844,0.0,,,
845,0.0,,,
846,12.0,37.0,,
847,18.0,40.0,,
848,10.5,40.0,0.0,0.0
849,10.0,35.0,0.0,0.0
850,0.0,,,
851,0.0,,,
852,0.0,,,
853,0.0,,,
854,0.0,,,
855,10.0,30.0,,
856,0.0,,,
857,,,0.0,0.0
858,0.0,,,
859,0.0,,,
860,15.0,35.0,,
861,0.0,,,
862,10.5,40.0,,
863,0.0,,,
864,10.75,40.0,,
865,0.0,,,
866,0.0,,,
867,0.0,,,
868,10.0,40.0,,
869,0.0,,,
870,12.0,40.0,0.0,0.0
871,0.0,,,
872,0.0,,,
873,12.0,30.0,,
874,0.0,,,
875,0.0,,,
876,0.0,,,
877,31.25,40,,
878,9.0,20,,
879,40.0,37,,
880,32.74,40,,
881,72.11,40,,
882,12.5,37,,
883,17.0,27,,
884,13.0,40,,
885,30.0,40,,
886,20.0,36,,
887,15.62,20,,
888,22.0,40,,
889,10.0,20,,
890,25.0,20,,
891,35.0,5,,
892,10.0,40,,
893,20.0,12,,
894,13.0,8,,
895,10.0,4,,
896,10.0,6,,
897,15.0,30,,
898,10.5,32,,
899,50.0,10,,
900,8.8,28,,
