,Savings,CreditScore,Debt
1375,20,550,6000
1376,0,595,20000
1377,300,507,7000
1378,23,720,3000
1379,2000,,
1380,0,,
1381,0,,7000
1382,0,,
1383,,,
1384,150,649,71000
1385,0,,
1386,0,452,7500
1387,,,
1388,0,,
1389,0,520,0
1390,20000,800,116000
1391,50,568,0
1392,200,,464
1393,,,7000
1394,0,,0
1395,,625,5500
1396,0,,
1397,0,400,20000
1398,,,
1399,,,
1400,300,,
1401,100,751,
1402,0,630,65000
1403,,,
1404,0,,5700
1405,,,
1406,0,,
1407,0,,
1408,0,,289
1409,53,,
1410,0,,4000
1411,8000,700,1000
1412,0,465,
1413,,732,
1414,,,
1415,,525,
1416,0,,5000
1417,80000,,106000
1418,0,,
1419,,470,12000
1420,,,
1421,10000,640,800
1422,1000,754,280000
1423,0,540,21600
1424,,,
1425,1000,,0
1426,,,
1427,940,,18620
1428,0,673,50000
1429,0,457,25000
1430,,527,0
1431,1500,,2000
1432,0,,
1433,,,60000
1434,0,,50000
1435,,730,3500
1436,100,760,16600
1437,0,630,115000
1438,0,520,40000
1439,,500,
1440,,568,
1441,0,470,10000
1442,0,,
1443,0,600,
1444,,,
1445,,,
1446,5,483,
1447,700,,0
1448,0,,
1449,,,
1450,0,551,
1451,,,
1452,200,503,
1453,,452,
1454,0,540,21600
1455,200,538,
1456,0,,
1457,,,
1458,,,
1459,1190,568,
1460,,,
1461,0,601,50000
1462,0,,64500
1463,20000,671,125000
1464,,587,
1465,1000,,1200
1466,,595,
1467,4,552,
1468,,,
1469,3000,765,
1470,4000,800,
1471,,597,
1472,,,
1473,2200,675,
1474,0,,
1475,,,
1476,,,
1477,500,,
1478,,,
1479,25,512,
1480,3000,651,
1481,1500,512,
1482,,,
1483,0,720,
1484,,,
1485,0,,
1486,,,
1487,0,,
1488,0,545,
1489,,558,
1490,0,,
1491,200,572,
1492,14000,760,
1493,250,650,8000
1494,,500,
1495,,,
1496,,,
1497,0,,
1498,,,
1499,,,
1500,5000,661,
1501,550,,
1502,18000,660,50000
1503,,498,
1504,3000,524,1286
1505,2000,608,25000
1506,,,
1507,0,,
1508,,344,
1509,6,588,
1510,,520,
1511,,,
1512,0,524,
1513,0,,
1514,300,543,
1515,7.72,,
1516,,,
1517,0,,
1518,0,520,
1519,0,,
1520,4000,496,
1521,,459,
1522,0,582,
1523,0,583,
1524,,475,
1525,,,
1526,4000,760,7000
1527,0,687,
1528,200,,
1529,,,
1530,5000,,
1531,0,,
1532,0,566,
1533,400,745,
1534,0,441,
1535,0,,0
1536,,,
1537,0,,
1538,,,
1539,0,,
1540,0,,
1541,5000,,
1542,2000,705,
1543,14935,615,118000
1544,0,,
1545,0,,
1546,500,400,
1547,200,498,14000
1548,150,726,
1549,,602,
1550,,450,
1551,,,
1552,200,680,10000
1553,505,691,18712
1554,,,
1555,,,
1556,400,,
1557,4000,780,
1558,1000,740,
1559,,,
1560,,,
1561,1000,565,
1562,180,778,246000
1563,,,
1564,0,,
1565,,,
1566,0,572,
1567,,,
1568,,615,
1569,0,607,6000
1570,0,,
1571,20,,0
1572,0,,
1573,,620,
1574,0,,
1575,0,644,
1576,0,,
1577,0,,
1578,,,
1579,,,
1580,1000,699,
1581,,,
1582,0,512,
1583,200,,
1584,100,,
1585,,,
1586,0,590,
1587,18000,829,
1588,,,
1589,,,
1590,,,
1591,25,525,
1592,3000,793,11000
1593,500,,
1594,0,610,
1595,10000,,
1596,,,
1597,102,530,
1598,,,
1599,,,
1600,,,
1601,8,,
1602,0,674,
1603,,,
1604,6,,
1605,,,
1606,0,,
1607,,,
1608,150,,
1609,,,
1610,0,,
1611,0,740,
