,BenefitsScreening,PublicBenefitsAccess,AgencyProvidedSupport,AccessIncome,AccessEmployment,AccessFinancialCoach,BundledServices
369,No,No,Yes,Yes,No,No,1
370,No,,Yes,Yes,No,No,1
371,No,,Yes,Yes,No,No,1
372,Yes,No,Yes,Yes,Yes,Yes,3
373,Yes,No,Yes,Yes,Yes,Yes,3
374,No,No,Yes,Yes,No,No,1
375,No,Yes,Yes,Yes,No,No,1
376,No,No,Yes,Yes,No,No,1
377,No,No,Yes,Yes,No,Yes,2
378,No,,Yes,Yes,No,No,1
379,No,No,Yes,Yes,No,No,1
380,No,,Yes,Yes,No,No,1
381,No,,Yes,Yes,No,No,1
382,Yes,No,Yes,Yes,Yes,Yes,3
383,Yes,No,Yes,Yes,Yes,Yes,3
384,Yes,No,Yes,Yes,Yes,Yes,3
385,Yes,No,Yes,Yes,Yes,Yes,3
386,Yes,No,Yes,Yes,Yes,Yes,3
387,Yes,No,Yes,Yes,Yes,Yes,3
388,No,,Yes,Yes,Yes,No,2
389,No,,Yes,Yes,No,No,1
390,No,,Yes,Yes,No,No,1
391,No,,Yes,Yes,No,No,1
392,No,No,Yes,Yes,No,No,1
393,No,,Yes,Yes,No,No,1
394,Yes,Yes,Yes,Yes,Yes,Yes,3
395,Yes,Yes,Yes,Yes,Yes,Yes,3
396,No,,Yes,Yes,No,No,1
397,No,,Yes,Yes,No,No,1
398,Yes,No,Yes,Yes,Yes,Yes,3
399,Yes,No,Yes,Yes,Yes,Yes,3
400,No,No,Yes,Yes,No,No,1
401,No,,Yes,Yes,No,No,1
402,No,No,Yes,Yes,No,No,1
403,Yes,Yes,Yes,Yes,Yes,Yes,3
404,Yes,Yes,Yes,Yes,Yes,Yes,3
405,No,No,Yes,Yes,No,Yes,2
406,No,,Yes,Yes,No,No,1
407,No,Yes,Yes,Yes,No,No,1
408,No,,Yes,Yes,No,No,1
409,No,,Yes,Yes,No,No,1
410,No,,Yes,Yes,No,No,1
411,Yes,Yes,Yes,Yes,Yes,Yes,3
412,Yes,Yes,Yes,Yes,Yes,Yes,3
413,No,Yes,Yes,Yes,No,No,1
414,No,,Yes,Yes,No,No,1
415,No,No,Yes,Yes,No,No,1
416,No,,Yes,Yes,No,No,1
417,No,No,Yes,Yes,No,No,1
418,No,,Yes,Yes,No,No,1
419,No,No,Yes,Yes,No,No,1
420,No,,Yes,Yes,Yes,No,2
421,No,,Yes,Yes,No,No,1
422,No,,Yes,Yes,No,No,1
423,No,No,Yes,Yes,No,No,1
424,No,,Yes,Yes,No,No,1
425,No,,Yes,Yes,No,No,1
426,No,,Yes,Yes,No,No,1
427,No,Yes,Yes,Yes,No,Yes,2
428,No,Yes,Yes,Yes,No,Yes,2
429,No,,Yes,Yes,No,No,1
430,No,,Yes,Yes,Yes,No,2
431,No,,Yes,Yes,No,No,1
432,No,,Yes,Yes,No,No,1
433,No,Yes,Yes,Yes,No,No,1
434,No,,Yes,Yes,No,No,1
435,No,,Yes,Yes,No,No,1
436,No,,Yes,Yes,No,No,1
437,No,,Yes,Yes,No,No,1
438,No,No,Yes,Yes,No,No,1
439,No,,Yes,Yes,No,No,1
440,No,,Yes,Yes,No,No,1
441,No,,Yes,Yes,No,No,1
442,No,No,Yes,Yes,No,No,1
443,Yes,No,Yes,Yes,Yes,Yes,3
444,Yes,No,Yes,Yes,Yes,Yes,3
445,No,No,Yes,Yes,No,Yes,2
446,No,No,Yes,Yes,No,Yes,2
447,No,,Yes,Yes,No,No,1
448,No,,Yes,Yes,No,No,1
449,No,,Yes,Yes,No,No,1
450,No,,Yes,Yes,No,No,1
451,Yes,No,Yes,Yes,Yes,Yes,3
452,Yes,No,Yes,Yes,Yes,Yes,3
453,No,,Yes,Yes,No,No,1
454,No,,Yes,Yes,No,No,1
455,No,,Yes,Yes,No,No,1
456,Yes,Yes,Yes,Yes,Yes,Yes,3
457,No,Yes,Yes,Yes,Yes,Yes,3
458,No,,Yes,Yes,No,No,1
459,No,,Yes,Yes,No,Yes,2
460,No,,Yes,Yes,No,No,1
461,No,No,Yes,Yes,No,No,1
462,No,,Yes,Yes,No,No,1
463,Yes,Yes,Yes,Yes,Yes,Yes,3
464,Yes,Yes,Yes,Yes,Yes,Yes,3
465,No,,Yes,Yes,No,No,1
466,No,No,Yes,Yes,No,Yes,2
467,No,,Yes,Yes,No,No,1
468,No,,Yes,Yes,Yes,No,2
469,No,,Yes,Yes,Yes,No,2
470,No,,Yes,Yes,No,No,1
471,No,No,Yes,Yes,No,No,1
472,No,No,Yes,Yes,No,No,1
473,No,,Yes,Yes,No,No,1
474,No,,Yes,Yes,No,No,1
475,No,,Yes,Yes,No,No,1
476,No,,Yes,Yes,No,No,1
477,No,,Yes,Yes,No,No,1
478,No,,Yes,Yes,No,No,1
479,No,,Yes,Yes,No,No,1
480,No,No,Yes,Yes,Yes,No,2
481,No,,Yes,Yes,No,No,1
482,No,,Yes,Yes,No,No,1
483,No,No,Yes,Yes,No,Yes,2
484,No,No,Yes,Yes,No,Yes,2
485,No,Yes,Yes,Yes,No,No,1
486,No,,Yes,Yes,No,No,1
487,No,,Yes,Yes,No,No,1
488,No,Yes,Yes,Yes,No,No,1
489,No,,Yes,Yes,No,No,1
490,No,,Yes,Yes,No,No,1
491,No,,Yes,Yes,No,No,1
492,No,,Yes,Yes,No,No,1
493,No,No,Yes,Yes,Yes,Yes,3
494,Yes,No,Yes,Yes,Yes,Yes,3
495,No,No,Yes,Yes,Yes,Yes,3
496,No,No,Yes,Yes,Yes,Yes,3
497,No,No,Yes,Yes,Yes,Yes,3
498,Yes,Yes,Yes,Yes,Yes,Yes,3
499,No,No,Yes,Yes,Yes,Yes,3
500,Yes,Yes,Yes,Yes,Yes,Yes,3
501,No,No,Yes,Yes,Yes,Yes,3
502,Yes,No,Yes,Yes,Yes,Yes,3
503,No,Yes,Yes,Yes,Yes,Yes,3
504,No,No,Yes,Yes,Yes,Yes,3
505,No,No,Yes,Yes,Yes,Yes,3
506,No,No,Yes,Yes,Yes,Yes,3
507,Yes,No,Yes,Yes,Yes,Yes,3
508,No,No,Yes,Yes,Yes,Yes,3
509,No,No,Yes,Yes,Yes,Yes,3
510,No,No,Yes,Yes,Yes,Yes,3
511,Yes,Yes,Yes,Yes,Yes,Yes,3
512,No,No,Yes,Yes,Yes,Yes,3
513,No,No,Yes,Yes,Yes,Yes,3
514,No,No,Yes,Yes,Yes,Yes,3
515,No,No,Yes,Yes,Yes,Yes,3
516,No,No,Yes,Yes,Yes,Yes,3
517,No,No,Yes,Yes,Yes,Yes,3
518,No,No,Yes,Yes,Yes,Yes,3
519,Yes,Yes,Yes,Yes,Yes,Yes,3
520,Yes,No,Yes,Yes,Yes,Yes,3
521,No,Yes,Yes,Yes,Yes,Yes,3
522,No,No,Yes,Yes,Yes,Yes,3
523,Yes,No,Yes,Yes,Yes,Yes,3
524,No,No,Yes,Yes,Yes,Yes,3
525,Yes,Yes,Yes,Yes,Yes,Yes,3
526,No,No,Yes,Yes,Yes,Yes,3
527,Yes,No,Yes,Yes,Yes,Yes,3
528,No,No,Yes,Yes,Yes,Yes,3
529,Yes,Yes,Yes,Yes,Yes,Yes,3
530,Yes,No,Yes,Yes,Yes,Yes,3
531,Yes,No,Yes,Yes,Yes,Yes,3
532,No,No,Yes,Yes,Yes,Yes,3
533,No,No,Yes,Yes,Yes,Yes,3
534,No,No,Yes,Yes,Yes,Yes,3
535,Yes,No,Yes,Yes,Yes,Yes,3
536,No,No,Yes,Yes,Yes,Yes,3
537,No,No,Yes,Yes,Yes,Yes,3
538,No,No,Yes,Yes,Yes,Yes,3
539,No,Yes,Yes,Yes,Yes,Yes,3
540,Yes,No,Yes,Yes,Yes,Yes,3
541,Yes,No,Yes,Yes,Yes,Yes,3
542,No,No,Yes,Yes,Yes,Yes,3
543,No,No,Yes,Yes,Yes,Yes,3
544,No,No,Yes,Yes,Yes,Yes,3
545,Yes,Yes,Yes,Yes,Yes,Yes,3
546,No,No,Yes,Yes,Yes,Yes,3
547,No,Yes,Yes,Yes,Yes,Yes,3
548,No,Yes,Yes,Yes,Yes,Yes,3
549,No,No,Yes,Yes,Yes,Yes,3
550,No,No,Yes,Yes,Yes,Yes,3
551,No,No,Yes,Yes,Yes,Yes,3
552,Yes,No,Yes,Yes,Yes,Yes,3
553,Yes,No,Yes,Yes,Yes,Yes,3
554,No,No,Yes,Yes,Yes,Yes,3
555,No,Yes,Yes,Yes,Yes,Yes,3
556,Yes,No,Yes,Yes,Yes,Yes,3
557,No,No,Yes,Yes,Yes,Yes,3
558,No,No,Yes,Yes,Yes,Yes,3
559,No,No,Yes,Yes,Yes,Yes,3
560,Yes,No,Yes,Yes,Yes,Yes,3
561,No,No,Yes,Yes,Yes,Yes,3
562,Yes,No,Yes,Yes,Yes,Yes,3
563,Yes,No,Yes,Yes,Yes,Yes,3
564,Yes,No,Yes,Yes,Yes,Yes,3
565,No,No,Yes,Yes,Yes,Yes,3
566,No,No,Yes,Yes,Yes,Yes,3
567,Yes,No,Yes,Yes,Yes,Yes,3
568,Yes,No,Yes,Yes,Yes,Yes,3
569,No,No,Yes,Yes,Yes,Yes,3
570,Yes,No,Yes,Yes,Yes,Yes,3
571,Yes,No,Yes,Yes,Yes,Yes,3
572,No,No,Yes,Yes,Yes,Yes,3
573,No,No,Yes,Yes,Yes,Yes,3
574,No,No,Yes,Yes,Yes,Yes,3
575,Yes,Yes,Yes,Yes,Yes,Yes,3
576,No,No,Yes,Yes,Yes,Yes,3
577,No,No,Yes,Yes,Yes,Yes,3
578,No,No,Yes,Yes,Yes,Yes,3
579,No,Yes,Yes,Yes,Yes,Yes,3
580,Yes,Yes,Yes,Yes,Yes,No,2
581,Yes,Yes,Yes,Yes,No,Yes,2
582,Yes,No,Yes,Yes,Yes,Yes,3
583,Yes,No,Yes,Yes,No,Yes,2
584,Yes,Yes,Yes,Yes,No,Yes,2
585,Yes,No,Yes,Yes,No,No,1
586,Yes,No,Yes,Yes,Yes,Yes,3
587,Yes,Yes,Yes,Yes,No,Yes,2
588,Yes,No,Yes,Yes,No,Yes,2
589,Yes,No,Yes,Yes,Yes,Yes,3
590,Yes,No,Yes,Yes,No,Yes,2
591,Yes,No,Yes,Yes,No,Yes,2
592,Yes,No,Yes,Yes,No,Yes,2
593,Yes,No,Yes,Yes,Yes,Yes,3
594,Yes,No,Yes,Yes,Yes,Yes,3
595,Yes,No,Yes,Yes,No,Yes,2
596,Yes,No,Yes,Yes,No,Yes,2
597,Yes,Yes,,Yes,Yes,Yes,3
598,Yes,Yes,,Yes,Yes,Yes,3
599,Yes,Yes,,Yes,Yes,Yes,3
600,Yes,Yes,,Yes,Yes,Yes,3
601,Yes,No,Yes,Yes,Yes,Yes,3
602,Yes,No,Yes,Yes,Yes,Yes,3
603,Yes,No,Yes,Yes,Yes,Yes,3
604,Yes,No,Yes,Yes,Yes,Yes,3
605,Yes,No,Yes,Yes,Yes,Yes,3
606,Yes,No,Yes,Yes,Yes,Yes,3
607,Yes,No,Yes,Yes,Yes,Yes,3
608,Yes,No,Yes,Yes,Yes,Yes,3
609,Yes,Yes,Yes,Yes,Yes,Yes,3
610,Yes,Yes,Yes,Yes,Yes,Yes,3
611,Yes,No,Yes,Yes,Yes,Yes,3
612,Yes,Yes,Yes,Yes,Yes,Yes,3
613,Yes,Yes,Yes,Yes,Yes,Yes,3
614,Yes,No,Yes,Yes,Yes,Yes,3
615,Yes,No,Yes,Yes,Yes,Yes,3
616,Yes,Yes,Yes,Yes,Yes,Yes,3
617,Yes,Yes,Yes,Yes,Yes,Yes,3
618,Yes,No,,Yes,Yes,Yes,3
619,Yes,No,,Yes,Yes,Yes,3
620,Yes,No,Yes,Yes,Yes,Yes,3
621,Yes,No,Yes,Yes,Yes,Yes,3
622,Yes,No,Yes,Yes,Yes,Yes,3
623,Yes,No,Yes,Yes,Yes,Yes,3
624,Yes,No,Yes,Yes,Yes,Yes,3
625,Yes,Yes,Yes,Yes,Yes,Yes,3
626,Yes,Yes,Yes,Yes,Yes,Yes,3
